column,missing_count,missing_pct,leading_nan_run_h,trailing_nan_run_h,internal_nan_count,max_internal_gap_h,first_missing_ts,last_missing_ts,refined_missing_count,inherited_vs_introduced,likely_cause
afrr_capacity_offered_mw_pos_lag_2h,2,0.0043469755917320526,0,2,0,0,2026-03-01 01:00:00+00:00,2026-03-01 02:00:00+00:00,,,Tail-only truncation (future-shift target/horizon feature)
load_error_da_lag_2h,2,0.0043469755917320526,2,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 02:00:00+00:00,,,Head-only warmup (lag/rolling initialization)
mfrr_mari_net_mw_lag_2h,2,0.0043469755917320526,0,2,0,0,2026-03-01 01:00:00+00:00,2026-03-01 02:00:00+00:00,,,Tail-only truncation (future-shift target/horizon feature)
mfrr_mari_net_mw_lag_3h,2,0.0043469755917320526,1,1,0,0,2020-11-30 01:00:00+00:00,2026-03-01 02:00:00+00:00,,,Mixed pattern; requires manual column-level review
nrv_quantile_5_lag_4h,2,0.0043469755917320526,2,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 02:00:00+00:00,,,Head-only warmup (lag/rolling initialization)
nrv_zscore_24h_lag_4h,2,0.0043469755917320526,2,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 02:00:00+00:00,,,Rolling/statistical warmup window introduces head NaNs
solar_error_id_lag_2h,2,0.0043469755917320526,2,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 02:00:00+00:00,,,Head-only warmup (lag/rolling initialization)
wind_offshore_error_id_lag_2h,2,0.0043469755917320526,2,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 02:00:00+00:00,,,Head-only warmup (lag/rolling initialization)
wind_onshore_actual_entsoe_mean_168h_lag_2h,2,0.0043469755917320526,2,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 02:00:00+00:00,,,Rolling/statistical warmup window introduces head NaNs
wind_onshore_actual_entsoe_mean_24h_lag_2h,2,0.0043469755917320526,2,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 02:00:00+00:00,,,Rolling/statistical warmup window introduces head NaNs
wind_onshore_error_id_lag_2h,2,0.0043469755917320526,2,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 02:00:00+00:00,,,Head-only warmup (lag/rolling initialization)
NRV_balance_lag_2h,1,0.0021734877958660263,1,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 01:00:00+00:00,,,PiT lag layer or source latency (head NaNs expected)
afrr_activation_price_vwap_neg_lag_3h,1,0.0021734877958660263,1,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 01:00:00+00:00,,,Head-only warmup (lag/rolling initialization)
afrr_activation_price_vwap_pos_lag_3h,1,0.0021734877958660263,1,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 01:00:00+00:00,,,Head-only warmup (lag/rolling initialization)
afrr_activation_rate_lag_3h,1,0.0021734877958660263,1,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 01:00:00+00:00,,,Head-only warmup (lag/rolling initialization)
afrr_capacity_awarded_mw_neg_lag_3h,1,0.0021734877958660263,0,1,0,0,2026-03-01 02:00:00+00:00,2026-03-01 02:00:00+00:00,,,Tail-only truncation (future-shift target/horizon feature)
